 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,   merge_parallel,  reversed,      4000,            10,    0.000574,  0.000056,  0.000063,  0.000057,        69686411.149826
SUCCESS,   merge_parallel,  reversed,      8000,            10,    0.001173,  0.000117,  0.000118,  0.000117,        68201193.520887
SUCCESS,   merge_parallel,  reversed,     16000,            10,    0.002461,  0.000241,  0.000284,  0.000246,        65014221.861032
SUCCESS,   merge_parallel,  reversed,     32000,            10,    0.004993,  0.000499,  0.000501,  0.000499,        64089725.615862
SUCCESS,   merge_parallel,  reversed,     64000,            10,    0.010093,  0.001007,  0.001016,  0.001009,        63410284.355494
SUCCESS,   merge_parallel,  reversed,    128000,            10,    0.020902,  0.002088,  0.002094,  0.002090,        61238159.027844
SUCCESS,   merge_parallel,  reversed,    256000,            10,    0.043479,  0.004344,  0.004353,  0.004348,        58878999.057016
SUCCESS,   merge_parallel,  reversed,    512000,            10,    0.090205,  0.009014,  0.009032,  0.009020,        56759603.126213
SUCCESS,   merge_parallel,  reversed,   1024000,            10,    0.185800,  0.018573,  0.018596,  0.018580,        55113024.757804
SUCCESS,   merge_parallel,  reversed,   2048000,            10,    0.382630,  0.038242,  0.038340,  0.038263,        53524292.397355
SUCCESS,   merge_parallel,  reversed,   4096000,            10,    0.792503,  0.079103,  0.079402,  0.079250,        51684346.936226
SUCCESS,   merge_parallel,  reversed,   8192000,            10,    1.633300,  0.162847,  0.164821,  0.163330,        50156125.635217
SUCCESS,   merge_parallel,  reversed,  16384000,            10,    3.388839,  0.338615,  0.339278,  0.338884,        48346941.238578
SUCCESS,   merge_parallel,  reversed,  32768000,            10,    7.105872,  0.709342,  0.713351,  0.710587,        46113974.470691
SUCCESS,             heap,    random,      1000,            10,    0.000681,  0.000067,  0.000075,  0.000068,        14684287.812041
SUCCESS,             heap,    random,      2000,            10,    0.001462,  0.000145,  0.000148,  0.000146,        13679890.560876
SUCCESS,             heap,    random,      4000,            10,    0.003179,  0.000317,  0.000319,  0.000318,        12582573.136206
SUCCESS,             heap,    random,      8000,            10,    0.006843,  0.000682,  0.000687,  0.000684,        11690778.898144
SUCCESS,             heap,    random,     16000,            10,    0.014770,  0.001473,  0.001482,  0.001477,        10832769.126608
SUCCESS,             heap,    random,     32000,            10,    0.031718,  0.003162,  0.003178,  0.003172,        10088908.506211
SUCCESS,             heap,    random,     64000,            10,    0.067888,  0.006784,  0.006798,  0.006789,         9427292.010370
SUCCESS,             heap,    random,    128000,            10,    0.145574,  0.014529,  0.014590,  0.014557,         8792778.930303
SUCCESS,             heap,    random,    256000,            10,    0.313578,  0.031323,  0.031410,  0.031358,         8163838.024351
SUCCESS,             heap,    random,    512000,            10,    0.671851,  0.067105,  0.067285,  0.067185,         7620737.336106
SUCCESS,             heap,    random,   1024000,            10,    1.434916,  0.143249,  0.143877,  0.143492,         7136306.236741
SUCCESS,             heap,    random,   2048000,            10,    3.045132,  0.304315,  0.304772,  0.304513,         6725488.418893
SUCCESS,             heap,    random,   4096000,            10,    6.502143,  0.649480,  0.651071,  0.650214,         6299461.577514
SUCCESS,             heap,    random,   8192000,            10,   15.559045,  1.554990,  1.557607,  1.555905,         5265104.638492
SUCCESS,             heap,    random,  16384000,            10,   36.388336,  3.637378,  3.640931,  3.638834,         4502541.693580
SUCCESS,             heap,    random,  32768000,            10,   82.637909,  8.262083,  8.265525,  8.263791,         3965250.379218
SUCCESS,             heap,    sorted,      1000,            10,    0.000469,  0.000045,  0.000052,  0.000047,        21321961.620469
SUCCESS,             heap,    sorted,      2000,            10,    0.001091,  0.000107,  0.000113,  0.000109,        18331805.682860
SUCCESS,             heap,    sorted,      4000,            10,    0.002279,  0.000227,  0.000230,  0.000228,        17551557.700746
SUCCESS,             heap,    sorted,      8000,            10,    0.004809,  0.000477,  0.000486,  0.000481,        16635475.150759
SUCCESS,             heap,    sorted,     16000,            10,    0.010297,  0.001025,  0.001036,  0.001030,        15538506.361076
SUCCESS,             heap,    sorted,     32000,            10,    0.021563,  0.002143,  0.002167,  0.002156,        14840235.588740
SUCCESS,             heap,    sorted,     64000,            10,    0.044108,  0.004385,  0.004433,  0.004411,        14509839.484901
SUCCESS,             heap,    sorted,    128000,            10,    0.092554,  0.009219,  0.009292,  0.009255,        13829764.245738
SUCCESS,             heap,    sorted,    256000,            10,    0.197074,  0.019600,  0.019817,  0.019707,        12990044.348823
SUCCESS,             heap,    sorted,    512000,            10,    0.415019,  0.041394,  0.041614,  0.041502,        12336784.580947
SUCCESS,             heap,    sorted,   1024000,            10,    0.835070,  0.083423,  0.083567,  0.083507,        12262445.064486
SUCCESS,             heap,    sorted,   2048000,            10,    1.752413,  0.174766,  0.175786,  0.175241,        11686742.794079
SUCCESS,             heap,    sorted,   4096000,            10,    3.721083,  0.370752,  0.372523,  0.372108,        11007548.071354
SUCCESS,             heap,    sorted,   8192000,            10,    7.781379,  0.775612,  0.781080,  0.778138,        10527696.954486
SUCCESS,             heap,    sorted,  16384000,            10,   15.632072,  1.561261,  1.565221,  1.563207,        10481016.208216
SUCCESS,             heap,    sorted,  32768000,            10,   32.046968,  3.199495,  3.211529,  3.204697,        10224992.267599
SUCCESS,             heap,  reversed,      1000,            10,    0.000470,  0.000045,  0.000053,  0.000047,        21276595.744681
SUCCESS,             heap,  reversed,      2000,            10,    0.001100,  0.000109,  0.000113,  0.000110,        18181818.181818
SUCCESS,             heap,  reversed,      4000,            10,    0.002378,  0.000236,  0.000240,  0.000238,        16820857.863751
SUCCESS,             heap,  reversed,      8000,            10,    0.005069,  0.000504,  0.000511,  0.000507,        15782205.563227
SUCCESS,             heap,  reversed,     16000,            10,    0.010778,  0.001074,  0.001084,  0.001078,        14845054.741139
SUCCESS,             heap,  reversed,     32000,            10,    0.022644,  0.002259,  0.002272,  0.002264,        14131778.837661
SUCCESS,             heap,  reversed,     64000,            10,    0.047513,  0.004744,  0.004763,  0.004751,        13469997.684844
SUCCESS,             heap,  reversed,    128000,            10,    0.099970,  0.009972,  0.010042,  0.009997,        12803841.152346
SUCCESS,             heap,  reversed,    256000,            10,    0.209099,  0.020888,  0.020932,  0.020910,        12243004.509825
SUCCESS,             heap,  reversed,    512000,            10,    0.437829,  0.043686,  0.043838,  0.043783,        11694063.207325
SUCCESS,             heap,  reversed,   1024000,            10,    0.917738,  0.091665,  0.091896,  0.091774,        11157868.585588
SUCCESS,             heap,  reversed,   2048000,            10,    1.907761,  0.190455,  0.191124,  0.190776,        10735097.320891
SUCCESS,             heap,  reversed,   4096000,            10,    3.976071,  0.397022,  0.398337,  0.397607,        10301626.907568
SUCCESS,             heap,  reversed,   8192000,            10,    8.199865,  0.818627,  0.821335,  0.819986,         9990408.378675
SUCCESS,             heap,  reversed,  16384000,            10,   17.119494,  1.710000,  1.713861,  1.711949,         9570376.320702
SUCCESS,             heap,  reversed,  32768000,            10,   34.991126,  3.497153,  3.501833,  3.499113,         9364660.056953
SUCCESS,            quick,    random,      1000,            10,    0.000644,  0.000062,  0.000067,  0.000064,        15527950.310559
SUCCESS,            quick,    random,      2000,            10,    0.001385,  0.000133,  0.000153,  0.000139,        14440433.212996
SUCCESS,            quick,    random,      4000,            10,    0.003046,  0.000291,  0.000318,  0.000305,        13131976.362443
SUCCESS,            quick,    random,      8000,            10,    0.006712,  0.000644,  0.000712,  0.000671,        11918951.132300
SUCCESS,            quick,    random,     16000,            10,    0.014379,  0.001402,  0.001519,  0.001438,        11127338.479727
SUCCESS,            quick,    random,     32000,            10,    0.031037,  0.003051,  0.003229,  0.003104,        10310274.833264
SUCCESS,            quick,    random,     64000,            10,    0.065522,  0.006279,  0.006839,  0.006552,         9767711.608315
SUCCESS,            quick,    random,    128000,            10,    0.143388,  0.013983,  0.014931,  0.014339,         8926827.907496
SUCCESS,            quick,    random,    256000,            10,    0.298223,  0.028862,  0.030627,  0.029822,         8584180.294612
SUCCESS,            quick,    random,    512000,            10,    0.634691,  0.061289,  0.066755,  0.063469,         8066917.602424
SUCCESS,            quick,    random,   1024000,            10,    1.339132,  0.129618,  0.138205,  0.133913,         7646744.309000
SUCCESS,            quick,    random,   2048000,            10,    2.786017,  0.270035,  0.287111,  0.278602,         7350996.063556
SUCCESS,            quick,    random,   4096000,            10,    5.873726,  0.572307,  0.599354,  0.587373,         6973427.088700
SUCCESS,            quick,    random,   8192000,            10,   12.239682,  1.190498,  1.262804,  1.223968,         6692984.343874
SUCCESS,            quick,    random,  16384000,            10,   25.714179,  2.536594,  2.639152,  2.571418,         6371581.997621
SUCCESS,            quick,    random,  32768000,            10,   52.713738,  5.155157,  5.336987,  5.271374,         6216216.349522
SUCCESS,            quick,    sorted,      1000,            10,    0.002754,  0.000264,  0.000291,  0.000275,         3631082.062455
SUCCESS,            quick,    sorted,      2000,            10,    0.010863,  0.001061,  0.001124,  0.001086,         1841112.031667
SUCCESS,            quick,    sorted,      4000,            10,    0.045539,  0.004442,  0.005357,  0.004554,          878367.992270
SUCCESS,            quick,    sorted,      8000,            10,    0.178378,  0.017762,  0.018301,  0.017838,          448485.799818
SUCCESS,            quick,    sorted,     16000,            10,    0.709317,  0.070789,  0.071855,  0.070932,          225569.103800
SUCCESS,            quick,    sorted,     32000,            10,    2.808807,  0.280705,  0.281039,  0.280881,          113927.372012
SUCCESS,            quick,    sorted,     64000,            10,   11.109416,  1.106180,  1.117123,  1.110942,           57608.788797
SUCCESS,            quick,  reversed,      1000,            10,    0.020173,  0.002015,  0.002021,  0.002017,          495712.090418
SUCCESS,            quick,  reversed,      2000,            10,    0.080979,  0.008096,  0.008102,  0.008098,          246977.611480
SUCCESS,            quick,  reversed,      4000,            10,    0.324592,  0.032456,  0.032466,  0.032459,          123231.626165
SUCCESS,            quick,  reversed,      8000,            10,    1.299099,  0.129900,  0.129925,  0.129910,           61581.142007
SUCCESS,            quick,  reversed,     16000,            10,    5.204161,  0.520374,  0.520486,  0.520416,           30744.629153
SUCCESS,            quick,  reversed,     32000,            10,   20.827002,  2.082553,  2.082865,  2.082700,           15364.669384
SUCCESS,            quick,  reversed,     64000,            10,   83.323468,  8.331762,  8.333022,  8.332347,            7680.909297
SUCCESS,   quick_modified,    random,      1000,            10,    0.000613,  0.000061,  0.000063,  0.000061,        16313213.703100
SUCCESS,   quick_modified,    random,      2000,            10,    0.001370,  0.000136,  0.000140,  0.000137,        14598540.145985
SUCCESS,   quick_modified,    random,      4000,            10,    0.002988,  0.000295,  0.000302,  0.000299,        13386880.856760
SUCCESS,   quick_modified,    random,      8000,            10,    0.006566,  0.000652,  0.000662,  0.000657,        12183978.068839
SUCCESS,   quick_modified,    random,     16000,            10,    0.014247,  0.001410,  0.001445,  0.001425,        11230434.477434
SUCCESS,   quick_modified,    random,     32000,            10,    0.030634,  0.003039,  0.003091,  0.003063,        10445909.773454
SUCCESS,   quick_modified,    random,     64000,            10,    0.065414,  0.006479,  0.006592,  0.006541,         9783838.322072
SUCCESS,   quick_modified,    random,    128000,            10,    0.140344,  0.013891,  0.014333,  0.014034,         9120446.901898
SUCCESS,   quick_modified,    random,    256000,            10,    0.297685,  0.029537,  0.030037,  0.029768,         8599694.307741
SUCCESS,   quick_modified,    random,    512000,            10,    0.628891,  0.062601,  0.063093,  0.062889,         8141315.426680
SUCCESS,   quick_modified,    random,   1024000,            10,    1.330961,  0.132420,  0.133746,  0.133096,         7693688.996146
SUCCESS,   quick_modified,    random,   2048000,            10,    2.792965,  0.278078,  0.280818,  0.279296,         7332709.146015
SUCCESS,   quick_modified,    random,   4096000,            10,    5.879202,  0.581640,  0.595824,  0.587920,         6966931.906745
SUCCESS,   quick_modified,    random,   8192000,            10,   12.359481,  1.227653,  1.243716,  1.235948,         6628110.031481
SUCCESS,   quick_modified,    random,  16384000,            10,   25.923276,  2.577122,  2.612592,  2.592328,         6320188.852674
SUCCESS,   quick_modified,    random,  32768000,            10,   53.622922,  5.319423,  5.402756,  5.362292,         6110819.548401
SUCCESS,   quick_modified,    sorted,      1000,            10,    0.000051,  0.000005,  0.000006,  0.000005,       196078431.372549
SUCCESS,   quick_modified,    sorted,      2000,            10,    0.000115,  0.000011,  0.000012,  0.000011,       173913043.478261
SUCCESS,   quick_modified,    sorted,      4000,            10,    0.000258,  0.000025,  0.000026,  0.000026,       155038759.689922
SUCCESS,   quick_modified,    sorted,      8000,            10,    0.000568,  0.000056,  0.000057,  0.000057,       140845070.422535
SUCCESS,   quick_modified,    sorted,     16000,            10,    0.001244,  0.000124,  0.000125,  0.000124,       128617363.344051
SUCCESS,   quick_modified,    sorted,     32000,            10,    0.002721,  0.000268,  0.000274,  0.000272,       117603822.124219
SUCCESS,   quick_modified,    sorted,     64000,            10,    0.005860,  0.000584,  0.000589,  0.000586,       109215017.064846
SUCCESS,   quick_modified,    sorted,    128000,            10,    0.012524,  0.001244,  0.001257,  0.001252,       102203768.763973
SUCCESS,   quick_modified,    sorted,    256000,            10,    0.026635,  0.002648,  0.002676,  0.002664,        96114135.535949
SUCCESS,   quick_modified,    sorted,    512000,            10,    0.056635,  0.005614,  0.005703,  0.005664,        90403460.757482
SUCCESS,   quick_modified,    sorted,   1024000,            10,    0.119757,  0.011944,  0.012008,  0.011976,        85506483.963359
SUCCESS,   quick_modified,    sorted,   2048000,            10,    0.250412,  0.024926,  0.025330,  0.025041,        81785217.960801
SUCCESS,   quick_modified,    sorted,   4096000,            10,    0.529513,  0.052826,  0.053153,  0.052951,        77354097.066550
SUCCESS,   quick_modified,    sorted,   8192000,            10,    1.131885,  0.112141,  0.113509,  0.113188,        72374843.734125
SUCCESS,   quick_modified,    sorted,  16384000,            10,    2.389671,  0.238398,  0.239405,  0.238967,        68561739.251972
SUCCESS,   quick_modified,    sorted,  32768000,            10,    4.975722,  0.485102,  0.501675,  0.497572,        65855769.273283
SUCCESS,   quick_modified,  reversed,      1000,            10,    0.000159,  0.000015,  0.000019,  0.000016,        62893081.761006
SUCCESS,   quick_modified,  reversed,      2000,            10,    0.000353,  0.000035,  0.000036,  0.000035,        56657223.796034
SUCCESS,   quick_modified,  reversed,      4000,            10,    0.000788,  0.000078,  0.000079,  0.000079,        50761421.319797
SUCCESS,   quick_modified,  reversed,      8000,            10,    0.001727,  0.000172,  0.000175,  0.000173,        46323103.647944
SUCCESS,   quick_modified,  reversed,     16000,            10,    0.003780,  0.000376,  0.000385,  0.000378,        42328042.328042
SUCCESS,   quick_modified,  reversed,     32000,            10,    0.008181,  0.000814,  0.000822,  0.000818,        39115022.613372
SUCCESS,   quick_modified,  reversed,     64000,            10,    0.017649,  0.001760,  0.001769,  0.001765,        36262677.772112
SUCCESS,   quick_modified,  reversed,    128000,            10,    0.037881,  0.003752,  0.003859,  0.003788,        33790026.662443
SUCCESS,   quick_modified,  reversed,    256000,            10,    0.081034,  0.008039,  0.008222,  0.008103,        31591677.567441
SUCCESS,   quick_modified,  reversed,    512000,            10,    0.172402,  0.017136,  0.017376,  0.017240,        29698031.345344
SUCCESS,   quick_modified,  reversed,   1024000,            10,    0.364093,  0.036208,  0.036672,  0.036409,        28124682.430038
SUCCESS,   quick_modified,  reversed,   2048000,            10,    0.771077,  0.076620,  0.077580,  0.077108,        26560252.737405
SUCCESS,   quick_modified,  reversed,   4096000,            10,    1.624611,  0.161985,  0.162845,  0.162461,        25212189.256382
SUCCESS,   quick_modified,  reversed,   8192000,            10,    3.416276,  0.340535,  0.342671,  0.341628,        23979327.197217
SUCCESS,   quick_modified,  reversed,  16384000,            10,    7.151614,  0.713208,  0.718305,  0.715161,        22909513.852398
SUCCESS,   quick_modified,  reversed,  32768000,            10,   13.236274,  1.321910,  1.325813,  1.323627,        24756211.604565
