 status,sorting_algorithm,array_type,array_size,num_iterations,total_time_s,min_time_s,max_time_s,avg_time_s,avg_elements_per_second
SUCCESS,   merge_parallel,  reversed,     32000,            10,    0.007332,  0.000674,  0.000838,  0.000733,        43644298.963448
SUCCESS,   merge_parallel,  reversed,     64000,            10,    0.016878,  0.001430,  0.002237,  0.001688,        37919184.737528
SUCCESS,   merge_parallel,  reversed,    128000,            10,    0.029777,  0.002715,  0.003472,  0.002978,        42986197.400678
SUCCESS,   merge_parallel,  reversed,    256000,            10,    0.059434,  0.005522,  0.006721,  0.005943,        43072988.525087
SUCCESS,   merge_parallel,  reversed,    512000,            10,    0.120159,  0.011615,  0.013028,  0.012016,        42610208.140880
SUCCESS,   merge_parallel,  reversed,   1024000,            10,    0.248977,  0.024433,  0.027446,  0.024898,        41128296.991288
SUCCESS,   merge_parallel,  reversed,   2048000,            10,    0.520142,  0.051535,  0.054376,  0.052014,        39373863.291178
SUCCESS,   merge_parallel,  reversed,   4096000,            10,    1.078944,  0.106764,  0.109940,  0.107894,        37963045.348044
SUCCESS,   merge_parallel,  reversed,   8192000,            10,    2.238743,  0.223021,  0.224799,  0.223874,        36591962.543266
SUCCESS,   merge_parallel,  reversed,  16384000,            10,    4.887268,  0.486313,  0.492759,  0.488727,        33523841.950145
SUCCESS,   merge_parallel,  reversed,  32768000,            10,   10.157128,  1.012358,  1.026253,  1.015713,        32261087.976838
SUCCESS,             heap,    random,      1000,            10,    0.000992,  0.000097,  0.000111,  0.000099,        10080645.161290
SUCCESS,             heap,    random,      2000,            10,    0.002135,  0.000205,  0.000238,  0.000213,         9367681.498829
SUCCESS,             heap,    random,      4000,            10,    0.005173,  0.000451,  0.000611,  0.000517,         7732456.988208
SUCCESS,             heap,    random,      8000,            10,    0.010594,  0.000967,  0.001152,  0.001059,         7551444.213706
SUCCESS,             heap,    random,     16000,            10,    0.022804,  0.002091,  0.002637,  0.002280,         7016312.927557
SUCCESS,             heap,    random,     32000,            10,    0.045439,  0.004270,  0.005021,  0.004544,         7042408.503708
SUCCESS,             heap,    random,     64000,            10,    0.095097,  0.009126,  0.010706,  0.009510,         6729970.451223
SUCCESS,             heap,    random,    128000,            10,    0.201462,  0.019712,  0.021913,  0.020146,         6353555.509228
SUCCESS,             heap,    random,    256000,            10,    0.433107,  0.042667,  0.046157,  0.043311,         5910779.553321
SUCCESS,             heap,    random,    512000,            10,    0.929172,  0.092083,  0.098626,  0.092917,         5510282.272819
SUCCESS,             heap,    random,   1024000,            10,    2.107642,  0.209026,  0.217547,  0.210764,         4858510.126483
SUCCESS,             heap,    random,   2048000,            10,    5.163941,  0.514296,  0.518551,  0.516394,         3965963.205234
SUCCESS,             heap,    random,   4096000,            10,   11.810773,  1.178836,  1.183676,  1.181077,         3468020.255744
SUCCESS,             heap,    random,   8192000,            10,   26.771865,  2.673638,  2.679839,  2.677186,         3059928.772239
SUCCESS,             heap,    random,  16384000,            10,   59.976721,  5.987742,  6.008478,  5.997672,         2731726.531032
SUCCESS,             heap,    random,  32768000,            10,  132.937499, 13.285040, 13.310205, 13.293750,         2464917.743037
SUCCESS,             heap,    sorted,      1000,            10,    0.000732,  0.000071,  0.000077,  0.000073,        13661202.185792
SUCCESS,             heap,    sorted,      2000,            10,    0.001637,  0.000158,  0.000191,  0.000164,        12217470.983506
SUCCESS,             heap,    sorted,      4000,            10,    0.003942,  0.000336,  0.000498,  0.000394,        10147133.434805
SUCCESS,             heap,    sorted,      8000,            10,    0.007347,  0.000692,  0.000908,  0.000735,        10888798.148904
SUCCESS,             heap,    sorted,     16000,            10,    0.015858,  0.001410,  0.001976,  0.001586,        10089544.709295
SUCCESS,             heap,    sorted,     32000,            10,    0.030514,  0.002795,  0.003771,  0.003051,        10486989.578554
SUCCESS,             heap,    sorted,     64000,            10,    0.061450,  0.005754,  0.007044,  0.006145,        10414971.521562
SUCCESS,             heap,    sorted,    128000,            10,    0.122328,  0.011861,  0.013812,  0.012233,        10463671.440717
SUCCESS,             heap,    sorted,    256000,            10,    0.253078,  0.024917,  0.027413,  0.025308,        10115458.475253
SUCCESS,             heap,    sorted,    512000,            10,    0.525902,  0.052046,  0.055111,  0.052590,         9735654.171309
SUCCESS,             heap,    sorted,   1024000,            10,    1.086247,  0.108130,  0.110912,  0.108625,         9426953.538192
SUCCESS,             heap,    sorted,   2048000,            10,    2.263639,  0.225593,  0.228689,  0.226364,         9047379.021125
SUCCESS,             heap,    sorted,   4096000,            10,    4.717534,  0.470538,  0.476764,  0.471753,         8682502.341266
SUCCESS,             heap,    sorted,   8192000,            10,    9.755810,  0.972892,  0.983838,  0.975581,         8397047.502975
SUCCESS,             heap,    sorted,  16384000,            10,   20.113163,  2.001047,  2.032265,  2.011316,         8145909.223726
SUCCESS,             heap,    sorted,  32768000,            10,   41.873496,  4.153463,  4.241338,  4.187350,         7825475.092885
SUCCESS,             heap,  reversed,      1000,            10,    0.000727,  0.000070,  0.000077,  0.000073,        13755158.184319
SUCCESS,             heap,  reversed,      2000,            10,    0.001625,  0.000159,  0.000177,  0.000163,        12307692.307692
SUCCESS,             heap,  reversed,      4000,            10,    0.003484,  0.000346,  0.000353,  0.000348,        11481056.257176
SUCCESS,             heap,  reversed,      8000,            10,    0.008310,  0.000724,  0.001041,  0.000831,         9626955.475331
SUCCESS,             heap,  reversed,     16000,            10,    0.016593,  0.001557,  0.002011,  0.001659,         9642620.382089
SUCCESS,             heap,  reversed,     32000,            10,    0.033149,  0.003073,  0.003917,  0.003315,         9653383.209147
SUCCESS,             heap,  reversed,     64000,            10,    0.064598,  0.006086,  0.007188,  0.006460,         9907427.474535
SUCCESS,             heap,  reversed,    128000,            10,    0.128226,  0.012584,  0.014090,  0.012823,         9982374.869371
SUCCESS,             heap,  reversed,    256000,            10,    0.263627,  0.026092,  0.027554,  0.026363,         9710689.724497
SUCCESS,             heap,  reversed,    512000,            10,    0.647855,  0.054230,  0.081007,  0.064785,         7903002.986779
SUCCESS,             heap,  reversed,   1024000,            10,    1.151064,  0.113427,  0.118880,  0.115106,         8896116.983938
SUCCESS,             heap,  reversed,   2048000,            10,    2.388867,  0.235144,  0.255051,  0.238887,         8573101.809351
SUCCESS,             heap,  reversed,   4096000,            10,    4.899158,  0.488631,  0.493224,  0.489916,         8360620.335168
SUCCESS,             heap,  reversed,   8192000,            10,   10.104799,  1.009270,  1.013238,  1.010480,         8107039.041548
SUCCESS,             heap,  reversed,  16384000,            10,   21.065543,  2.097567,  2.127185,  2.106554,         7777630.037830
SUCCESS,             heap,  reversed,  32768000,            10,   44.034000,  4.362974,  4.499951,  4.403400,         7441522.459917
SUCCESS,            quick,    random,      1000,            10,    0.000886,  0.000086,  0.000092,  0.000089,        11286681.715576
SUCCESS,            quick,    random,      2000,            10,    0.001909,  0.000184,  0.000204,  0.000191,        10476689.366160
SUCCESS,            quick,    random,      4000,            10,    0.004189,  0.000407,  0.000431,  0.000419,         9548818.333731
SUCCESS,            quick,    random,      8000,            10,    0.010622,  0.000878,  0.001246,  0.001062,         7531538.316701
SUCCESS,            quick,    random,     16000,            10,    0.019190,  0.001843,  0.001989,  0.001919,         8337675.872850
SUCCESS,            quick,    random,     32000,            10,    0.045821,  0.004058,  0.005823,  0.004582,         6983697.431309
SUCCESS,            quick,    random,     64000,            10,    0.085693,  0.008288,  0.008909,  0.008569,         7468521.349468
SUCCESS,            quick,    random,    128000,            10,    0.184813,  0.017962,  0.019186,  0.018481,         6925919.713440
SUCCESS,            quick,    random,    256000,            10,    0.378160,  0.036832,  0.040403,  0.037816,         6769621.324307
SUCCESS,            quick,    random,    512000,            10,    0.806515,  0.078537,  0.083646,  0.080651,         6348301.023540
SUCCESS,            quick,    random,   1024000,            10,    1.688809,  0.165031,  0.173030,  0.168881,         6063444.711628
SUCCESS,            quick,    random,   2048000,            10,    3.539019,  0.345990,  0.360051,  0.353902,         5786914.396334
SUCCESS,            quick,    random,   4096000,            10,    7.404704,  0.728956,  0.751006,  0.740470,         5531618.819604
SUCCESS,            quick,    random,   8192000,            10,   15.416165,  1.514026,  1.578323,  1.541616,         5313902.646994
SUCCESS,            quick,    random,  16384000,            10,   32.263553,  3.194397,  3.288271,  3.226355,         5078175.983904
SUCCESS,            quick,    random,  32768000,            10,   66.434766,  6.506077,  6.824902,  6.643477,         4932357.254032
SUCCESS,            quick,    sorted,      1000,            10,    0.006655,  0.000549,  0.001006,  0.000666,         1502629.601803
SUCCESS,            quick,    sorted,      2000,            10,    0.023434,  0.002169,  0.002763,  0.002343,          853460.783477
SUCCESS,            quick,    sorted,      4000,            10,    0.086466,  0.008123,  0.009756,  0.008647,          462609.580644
SUCCESS,            quick,    sorted,      8000,            10,    0.328090,  0.032320,  0.036130,  0.032809,          243835.532933
SUCCESS,            quick,    sorted,     16000,            10,    1.303937,  0.129677,  0.133355,  0.130394,          122705.314751
SUCCESS,            quick,    sorted,     32000,            10,    5.334909,  0.519429,  0.558894,  0.533491,           59982.278985
SUCCESS,            quick,    sorted,     64000,            10,   20.802826,  2.071437,  2.132503,  2.080283,           30765.050864
SUCCESS,            quick,  reversed,      1000,            10,    0.020640,  0.001851,  0.003024,  0.002064,          484496.124031
SUCCESS,            quick,  reversed,      2000,            10,    0.079508,  0.007419,  0.010421,  0.007951,          251547.014137
SUCCESS,            quick,  reversed,      4000,            10,    0.300661,  0.029622,  0.032645,  0.030066,          133040.201423
SUCCESS,            quick,  reversed,      8000,            10,    1.190425,  0.118498,  0.122730,  0.119043,           67202.889724
SUCCESS,            quick,  reversed,     16000,            10,    4.749728,  0.473609,  0.478009,  0.474973,           33686.139501
SUCCESS,            quick,  reversed,     32000,            10,   19.008217,  1.896303,  1.903872,  1.900822,           16834.824645
SUCCESS,            quick,  reversed,     64000,            10,   76.870080,  7.599278,  7.829768,  7.687008,            8325.736099
SUCCESS,   quick_modified,    random,      1000,            10,    0.000815,  0.000074,  0.000103,  0.000081,        12269938.650307
SUCCESS,   quick_modified,    random,      2000,            10,    0.001708,  0.000162,  0.000212,  0.000171,        11709601.873536
SUCCESS,   quick_modified,    random,      4000,            10,    0.003648,  0.000350,  0.000408,  0.000365,        10964912.280702
SUCCESS,   quick_modified,    random,      8000,            10,    0.008598,  0.000763,  0.001037,  0.000860,         9304489.416143
SUCCESS,   quick_modified,    random,     16000,            10,    0.018788,  0.001692,  0.002138,  0.001879,         8516074.089845
SUCCESS,   quick_modified,    random,     32000,            10,    0.038827,  0.003559,  0.004378,  0.003883,         8241687.485513
SUCCESS,   quick_modified,    random,     64000,            10,    0.078423,  0.007504,  0.008547,  0.007842,         8160871.172998
SUCCESS,   quick_modified,    random,    128000,            10,    0.163965,  0.016059,  0.017281,  0.016397,         7806544.079529
SUCCESS,   quick_modified,    random,    256000,            10,    0.342703,  0.033802,  0.036212,  0.034270,         7470025.065436
SUCCESS,   quick_modified,    random,    512000,            10,    0.718621,  0.071396,  0.073907,  0.071862,         7124756.999865
SUCCESS,   quick_modified,    random,   1024000,            10,    1.514196,  0.150346,  0.153590,  0.151420,         6762664.806934
SUCCESS,   quick_modified,    random,   2048000,            10,    3.170959,  0.315862,  0.318692,  0.317096,         6458613.939821
SUCCESS,   quick_modified,    random,   4096000,            10,    6.639677,  0.658846,  0.672412,  0.663968,         6168974.785972
SUCCESS,   quick_modified,    random,   8192000,            10,   13.819357,  1.374598,  1.385905,  1.381936,         5927916.906698
SUCCESS,   quick_modified,    random,  16384000,            10,   28.807362,  2.863948,  2.898033,  2.880736,         5687435.038307
SUCCESS,   quick_modified,    random,  32768000,            10,   59.984964,  5.926924,  6.200780,  5.998496,         5462702.286526
SUCCESS,   quick_modified,    sorted,      1000,            10,    0.000097,  0.000009,  0.000011,  0.000010,       103092783.505155
SUCCESS,   quick_modified,    sorted,      2000,            10,    0.000221,  0.000020,  0.000027,  0.000022,        90497737.556561
SUCCESS,   quick_modified,    sorted,      4000,            10,    0.000456,  0.000044,  0.000052,  0.000046,        87719298.245614
